username,timestamp_text,comment_text,cleaned_tokens,cleaned_text
@BIGTOOOO,1 month ago,I guess he chose Jeff johnson knowing that he picked Obama ... we will probably never know how But Brett was chosen randomly ... how did he incept Obama in his mind ? was it the humor ?,guess|chose|jeff|johnson|knowing|picked|obama|probably|never|know|brett|chosen|randomly|incept|obama|mind|humor,guess chose jeff johnson knowing picked obama probably never know brett chosen randomly incept obama mind humor
@pelusopj,1 month ago,Is it just me or did he wrote “Trevor Noah” way too fast on that white card?!?,wrote|trevor|noah|way|fast|white|card,wrote trevor noah way fast white card
@Realvinchente,1 month ago,Juju at work,juju|work,juju work
@kolo5141,1 month ago,Isn't that funny that two people picked by him didn't have to write a name and third person chosen randomly had to?,isnt|funny|two|people|picked|didnt|write|name|third|person|chosen|randomly,isnt funny two people picked didnt write name third person chosen randomly
@UEGlobe360,1 month ago,WTF!,wtf,wtf
@anadventureoutdoors,1 month ago,seems like a great job to sit in an audience and just agree with the speaker,seems|like|great|job|sit|audience|agree|speaker,seems like great job sit audience agree speaker
@Zinda5i,1 month ago,Title is wrong. Title should be „ How to remember people’s names.“ This video has nothing to do with Mind Reading. Just little show though.,title|wrong|title|remember|people|name|video|nothing|mind|reading|little|show|though,title wrong title remember people name video nothing mind reading little show though
@ADeVilling,1 month ago,Have you notice Oz never tells anyone how to learn this skill ?? It’s all gibberish!,notice|never|tell|anyone|learn|skill|gibberish,notice never tell anyone learn skill gibberish
@reshM-q1j,1 month ago,Im attending a wake,attending|wake,attending wake
@ഗിഡിയോൺ,1 month ago,"Mentalism, Bogus Science and nonsense.",mentalism|bogus|science|nonsense,mentalism bogus science nonsense
@priscillaquinn9505,1 month ago,How many people is this guy gonna trick in 2025 with his online digital board 🙄,many|people|guy|gon|trick|online|digital|board,many people guy gon trick online digital board
@EternityReal,1 month ago,Hypnotized 😵‍💫,hypnotized,hypnotized
